r0_max,r0_min,r0_aprox
4.061552330565559,4.061388403564801,4.06147036706518
3.795535510110173,3.795283266242877,3.795409388176525
1.2978157029568718,1.2977173678376985,1.2977665353972851
4.110295723423031,4.109769643126158,4.110032683274595
2.5220148238493687,2.5215893507399354,2.521802087294652
1.3764687491520944,1.3762042485717292,1.3763364988619118
2.285781845694483,2.2852340598447856,2.2855079527696343
2.234314425129972,2.2336536158246774,2.2339840204773247
1.4399088731270677,1.4394275398830592,1.4396682065050634
2.4113518980247846,2.4103520240134486,2.410851961019117
1.2485141963285593,1.247942674634926,1.2482284354817428
1.0926584251672793,1.0921164897159183,1.0923874574415988
1.9083669025918437,1.9072745107791693,1.9078207066855066
1.4513909994960832,1.4504701406396991,1.4509305700678912
1.3351861853904026,1.3342591161099175,1.3347226507501602
1.9527320351069175,1.9511789865009215,1.9519555108039195
1.7927928608301715,1.79118014441393,1.7919865026220507
1.3685427205436809,1.3671968673005095,1.3678697939220952
2.183341416047653,2.180844463181496,2.1820929396145745
2.8289763082534902,2.824952849676678,2.826964578965084
1.8643585736534116,1.8613179559651671,1.8628382648092894
2.755483458909352,2.749865226234413,2.7526743425718827
2.6563126934732213,2.6495399437034344,2.652926318588328
2.0591718856421948,2.052966312514636,2.0560690990784156
2.7011728425336123,2.690883510234297,2.6960281763839546
2.4702740538851216,2.4586106089097166,2.464442331397419
2.140231425074597,2.128121368288368,2.1341763966814824
2.2782047955855407,2.262562531752744,2.2703836636691426
2.245259862942858,2.226627936940756,2.235943899941807
2.0626254853973274,2.042342168911241,2.0524838271542842
2.0578377001340353,2.033930752402241,2.0458842262681385
1.9487196795292299,1.9223168634027727,1.9355182714660013
1.8271140723890422,1.7986505743332875,1.8128823233611648
1.7685716999361658,1.737164972816525,1.7528683363763453
1.938130271319416,1.8984518274807116,1.9182910494000638
1.609090774540171,1.5722270926131316,1.5906589335766514
1.729808565522735,1.6852019017394824,1.7075052336311087
1.7917594015787723,1.739646889880384,1.7657031457295782
1.4951226511326723,1.4472772677572825,1.4711999594449774
1.7522231873440768,1.689587611651409,1.720905399497743
1.631451372352623,1.5670103068729087,1.599230839612766
1.5626822532440752,1.4949799833709194,1.5288311183074974
1.7654566746845304,1.6806461580298317,1.723051416357181
1.6456729427323546,1.5588662557840434,1.602269599258199
1.652805214231167,1.5572585003328672,1.6050318572820172
1.67431855970089,1.5683434135653966,1.6213309866331433
1.4840510683187564,1.3825949427014481,1.4333230055101023
1.6926256539166675,1.5664725317014145,1.629549092809041
1.6527494728126826,1.5190299467470556,1.585889709779869
1.6490123509895418,1.5045251315740136,1.5767687412817777
1.6321234671025675,1.477729718358007,1.554926592730287
1.597141032133536,1.434688355662337,1.5159146938979364
1.6168090736240817,1.4402212646159427,1.5285151691200123
1.560929360514769,1.378769386052268,1.4698493732835185
1.7148897399266976,1.5000265114343951,1.6074581256805462
1.5963829642816825,1.3832152918777219,1.489799128079702
1.6193686729989867,1.3892122893409082,1.5042904811699476
1.6510844410085252,1.401540720630378,1.5263125808194515
2.0114621806927557,1.684028305351129,1.8477452430219423
1.7154395727040803,1.4186813999633145,1.5670604863336974
1.615931749925226,1.320639601277462,1.468285675601344
2.0840059400551683,1.6756495532772246,1.8798277466661966
1.9037318468365512,1.5070105934817215,1.7053712201591362
2.1988353445673976,1.7074574524178603,1.953146398492629
2.4697978389466293,1.873319640410194,2.1715587396784115
2.0597870275471153,1.5305596438197309,1.795173335683423
2.032566227338081,1.4789496182887214,1.7557579228134013
2.703710848194974,1.908862763045501,2.3062868056202372
2.2891928347458532,1.5735453720397667,1.93136910339281
2.6028210472429913,1.7325870556050031,2.167704051423997
2.639348153661827,1.6977100773567324,2.16852911550928
2.247757442946785,1.4033380960350432,1.8255477694909141
2.733307922748832,1.6435838481778693,2.1884458854633504
2.813013222337442,1.625112044927725,2.2190626336325834
2.3455305348384683,1.3102219533008352,1.8278762440696519
2.381056563719686,1.2855693334880205,1.8333129486038533
3.11771702616126,1.6085769464093511,2.3631469862853054
2.427235766675148,1.2090604585881124,1.8181481126316301
3.1068286825945157,1.479291175030976,2.293059928812746
3.0843590772723184,1.4041215884222726,2.2442403328472955
2.4528935217204184,1.0783905797865887,1.7656420507535036
3.119933596477043,1.3131648723379898,2.216549234407516
3.5776672780015586,1.4328334018116946,2.5052503399066266
3.7087901554698135,1.4111977930758648,2.5599939742728393
3.995957472427932,1.4393502706427799,2.717653871535356
4.1553253550935825,1.4145209582963292,2.7849231566949557
4.413805233052513,1.4159204013804905,2.914862817216502
5.019160708331334,1.5058260185832197,3.262493363457277
4.285828356985659,1.2158758750716465,2.750852116028653
6.722168956041276,1.7477609528272846,4.234964954434281
6.866570101491788,1.6327627200935049,4.2496664107926465
7.213868952037718,1.5626557524266662,4.388262352232192
9.575358617054414,1.8331307521388163,5.704244684596615
10.036542427426241,1.6880249712683506,5.862283699347296
12.896658626104346,1.8386593464951242,7.367658986299735
