r0_max,r0_min,r0_aprox
3.6312356975694726,3.6310989171121526,3.631167307340813
3.347669572013711,3.347482130543893,3.347575851278802
3.1146449810636208,3.114395163862091,3.114520072462856
2.7821632157051708,2.781859888439475,2.7820115520723228
2.600954119470074,2.6005802451277935,2.6007671822989336
2.4418345713245504,2.4413838640031513,2.441609217663851
2.297177491077955,2.296645680984496,2.296911586031226
2.1659780460862295,2.1653620961075375,2.1656700710968835
2.0635587563255786,2.0628498373234474,2.0632042968245132
2.0010728129971342,2.0002518712846262,2.0006623421408802
1.978789603568185,1.9778265921782303,1.9783080978732075
1.9937100555033918,1.99256154554508,1.993135800524236
2.0310863971651116,2.0297002672672724,2.030393332216192
2.0779024362455782,2.0762181494034557,2.077060292824517
2.121960696089231,2.119911581980413,2.1209361390348223
2.1448432055737356,2.142371904787911,2.1436075551808234
2.130074044933381,2.127151470008046,2.128612757470713
2.0881474960173545,2.0847521405908642,2.0864498183041094
2.0120809656740706,2.0082363747389396,2.010158670206505
1.9167456294846126,1.91248756133399,1.9146165954093013
1.809315692176984,1.8046986011199733,1.8070071466484787
1.6963006237147273,1.6913907312648133,1.6938456774897703
1.5815208993027507,1.5763941107852335,1.5789575050439921
1.478336205163326,1.4730304808094903,1.4756833429864082
1.377239952661332,1.3718273543572563,1.3745336535092942
1.2980398222746694,1.2925037764635863,1.2952717993691278
1.2414866368086606,1.2357808947155773,1.238633765762119
1.2124076211902857,1.206432338186635,1.2094199796884604
1.2159267413890162,1.2095167187811597,1.212721730085088
1.2520606888588748,1.2450023618084438,1.2485315253336593
1.3065792058428758,1.2986938364995986,1.3026365211712372
1.3928823945943596,1.3838528643433012,1.3883676294688305
1.4887457349665532,1.4783328201868242,1.4835392775766887
1.576639378633331,1.5646855138996454,1.5706624462664882
1.645008129671951,1.6314322437529825,1.6382201867124668
1.6788916925747035,1.6637718234358223,1.671331758005263
1.6896843456061534,1.6730570833099394,1.6813707144580463
1.6926849660167216,1.6744698573459769,1.6835774116813491
1.6805787747940815,1.6608064407318843,1.670692607762983
1.6625265796893198,1.6411583240418293,1.6518424518655745
1.6495211904922593,1.6263758036137954,1.6379484970530274
1.6430875979907287,1.6179287922800007,1.6305081951353646
1.659167475387327,1.6314194421198933,1.64529345875361
1.6828811302615072,1.6520964918959478,1.6674888110787274
1.6993819995411745,1.6653425480317692,1.6823622737864719
1.7102396510087403,1.6727000123267168,1.6914698316677286
1.7119471932148693,1.6707627966929726,1.691354994953921
1.7030731414048743,1.6581966879961367,1.6806349147005055
1.6888169203175478,1.640128559325686,1.6644727398216168
1.6571689018452378,1.6050218160414644,1.6310953589433512
1.6173867299392177,1.562008722844494,1.589697726391856
1.581100035008466,1.5223817817198053,1.5517409083641356
1.547309921566149,1.4851796048184707,1.5162447631923097
1.5160428708513418,1.4504305635180696,1.4832367171847056
1.4865702179915254,1.4174423261139588,1.452006272052742
1.455207636897516,1.3827355853452477,1.418971611121382
1.4313650079430589,1.3552415150984494,1.3933032615207541
1.4146159868677441,1.3344785783383633,1.3745472826030536
1.397431382796955,1.3133180792475427,1.3553747310222488
1.3834173169542483,1.295147136351917,1.3392822266530826
1.3754043003324599,1.2825621091004031,1.3289832047164314
1.3763799732774502,1.2782431390805848,1.3273115561790174
1.3894221953155905,1.2848813991030377,1.337151797209314
1.407655146765415,1.295965893877218,1.3518105203213167
1.4263105957255848,1.3070393149837525,1.3666749553546687
1.4495155042737142,1.321812538319323,1.3856640212965186
1.4715441596798506,1.3350032777608547,1.4032737187203526
1.4897241357669324,1.344206354530665,1.4169652451487988
1.4967932064084133,1.343002812422074,1.4198980094152436
1.4836111104445682,1.323526205889809,1.4035686581671887
1.4540155500362086,1.2896189620135987,1.3718172560249036
1.4120934918402366,1.2452516759976395,1.3286725839189382
1.3554692194093096,1.1886495937379844,1.272059406573647
1.2875511411916518,1.123082851936412,1.205316996564032
1.21012475691464,1.0502975849963536,1.130211170955497
1.1285722853407685,0.9750428113313924,1.0518075483360805
1.0612210694545456,0.9130084831914318,0.9871147763229887
1.0107894488829632,0.8662483277563346,0.9385188883196489
0.979406424250197,0.8363048399361497,0.9078556320931733
0.9688512236631406,0.8244246842140983,0.8966379539386194
0.9787081386861766,0.8299988465254451,0.9043534926058108
1.003380337728037,0.8480736722466712,0.925727004987354
1.0470279497010515,0.8819664432270664,0.964497196464059
1.0902604257753947,0.9152282451937519,1.0027443354845733
1.1301199158345923,0.9453884778639063,1.0377541968492494
1.1627710862063525,0.9692929752307298,1.0660320307185411
1.1949374433226783,0.9925845800357096,1.0937610116791938
1.229511939349538,1.0176464431451888,1.1235791912473634
1.2708207137272185,1.0479920910628486,1.1594064023950335
1.3123618036937028,1.0782018445563784,1.1952818241250407
1.361900405581831,1.1145824239160607,1.2382414147489458
1.410565725718842,1.1498021883597977,1.2801839570393199
1.4577173049638783,1.1833254825071642,1.3205213937355214
1.4999709205333303,1.2124198773534967,1.3561953989434135
1.5289191446416577,1.2303957551123335,1.3796574498769956
1.5284491619544882,1.22458953732394,1.376519349639214
1.5484873603998914,1.2350602018107641,1.3917737811053277
1.555530061697865,1.235032368999591,1.395281215348728
