r0 máximo,r0 mínimo,r0 aproximado
4.571435428581713,4.57143200000257,4.571433714292142
3.795040429048094,3.7950357424685706,3.7950380857583323
3.4489927363312747,3.4489861640714805,3.4489894502013776
2.5873147949275874,2.5873081910977316,2.5873114930126597
3.2727518339505606,3.272739553292835,3.272745693621698
3.7370272921031558,3.7370049676805657,3.7370161298918605
3.047670940263771,3.047644993720513,3.047657966992142
2.812432289733115,2.812399513354519,2.812415901543817
2.7046299506195606,2.7045877019225557,2.704608826271058
3.5211746139814584,3.5210915067099386,3.5211330603456985
2.4510427286793544,2.4509677906200222,2.4510052596496883
2.7008998852795147,2.70079007422975,2.700844979754632
3.250270202034951,3.2500804809443746,3.250175341489663
2.890587625173728,2.8903569768786093,2.8904723010261684
3.0233934625448775,3.0230577134126975,3.0232255879787875
2.7246440566974925,2.724240319239425,2.724442187968459
2.907503081839815,2.9069151142978145,2.907209098068815
2.6901665952513634,2.6894464093031174,2.68980650227724
2.468091285253773,2.4672439631590066,2.4676676242063897
2.552145312798405,2.5510143390672866,2.551579825932846
2.5318983416217105,2.530457279650192,2.5311778106359513
2.457517951409601,2.45574181994564,2.4566298856776205
2.315588613795833,2.313504645383932,2.3145466295898824
2.2567545628540153,2.254250904892508,2.2555027338732616
2.1305818941500707,2.127718217570382,2.1291500558602263
2.281302644264372,2.2775387860936167,2.2794207151789943
2.1568377417000253,2.1525362668045784,2.1546870042523016
2.0704960236371495,2.0655627083324912,2.0680293659848203
2.088473466801365,2.0825341426443926,2.0855038047228787
1.9790551213337424,1.9724268850710587,1.9757410032024005
1.9235915923933202,1.9160666673672817,1.919829129880301
1.9219220046489125,1.9131664785809885,1.9175442416149506
1.9573732715175056,1.9469795512544381,1.9521764113859719
1.9138434049580233,1.902068190554685,1.9079557977563542
1.8761430076039796,1.8628409544821727,1.8694919810430761
1.8363469500923069,1.8214277519450823,1.8288873510186945
1.7600750603249815,1.743832909164607,1.7519539847447942
1.7472080337359475,1.7289589462392019,1.7380834899875746
1.7487078480835883,1.7280798964089876,1.738393872246288
1.7271906090218865,1.7042681446871113,1.7157293768544988
1.7780483888851872,1.7514457502292355,1.7647470695572114
1.6608230528812187,1.6331093306297455,1.646966191755482
1.6758364255478209,1.6446812880005641,1.6602588567741925
1.67444542762993,1.6398357653475666,1.6571405964887482
1.5646155515307194,1.5290112542623113,1.5468134028965155
1.608377709105072,1.5680525340755875,1.5882151215903297
1.6110986704446388,1.56667259288077,1.5888856316627045
1.6000835146870298,1.5516814584981695,1.5758824865925996
1.5895796715215316,1.536963664638948,1.5632716680802399
1.56457808435088,1.508101903337596,1.536339993844238
1.5804939660955863,1.5183321112793202,1.5494130386874532
1.533149199455463,1.467750567626082,1.5004498835407725
